Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
intraday_seasonality:EURUSD-8-17CET,Short,EUR/USD,17502,2,2018-01-11 07:00,2018-01-11 16:00,1.19409,1.20476,-21.41,0.00,Sold
intraday_seasonality:EURUSD-11-14ET,Long,EUR/USD,18402,2,2018-01-11 16:00,2018-01-11 19:00,1.20476,1.20375,-2.09,-0.00,Sold
intraday_seasonality:EURUSD-8-17CET,Long,EUR/USD,18403,1,2018-01-11 16:00,2018-01-12 07:00,1.20476,1.20505,+0.14,-0.12,Sold
intraday_seasonality:EURUSD-11-14ET,Short,EUR/USD,18702,1,2018-01-11 19:00,2018-01-12 16:00,1.20375,1.21459,-10.81,0.07,Sold
intraday_seasonality:EURUSD-8-17CET,Short,EUR/USD,19902,2,2018-01-12 07:00,2018-01-12 16:00,1.20505,1.21459,-19.14,0.00,Sold
intraday_seasonality:EURUSD-11-14ET,Long,EUR/USD,20803,2,2018-01-12 16:00,2018-01-12 19:00,1.21459,1.21639,+3.53,-0.00,Sold
intraday_seasonality:EURUSD-11-14ET,Long,EUR/USD,23103,2,2018-01-15 16:00,2018-01-15 19:00,1.22625,1.22718,+1.79,-0.00,Sold
intraday_seasonality:EURUSD-8-17CET,Long,EUR/USD,23104,1,2018-01-15 16:00,2018-01-16 07:00,1.22625,1.22626,-0.14,-0.12,Sold
intraday_seasonality:EURUSD-11-14ET,Short,EUR/USD,23403,1,2018-01-15 19:00,2018-01-16 16:00,1.22718,1.22310,+4.12,0.07,Sold
intraday_seasonality:EURUSD-8-17CET,Short,EUR/USD,24603,2,2018-01-16 07:00,2018-01-16 16:00,1.22626,1.22310,+6.26,0.00,Sold
intraday_seasonality:EURUSD-11-14ET,Short,EUR/USD,25803,1,2018-01-16 19:00,2018-01-17 16:00,1.22682,1.22410,+2.75,0.07,Sold
intraday_seasonality:EURUSD-11-14ET,Short,EUR/USD,28203,1,2018-01-17 19:00,2018-01-18 16:00,1.22732,1.22381,+3.54,0.07,Sold
intraday_seasonality:EURUSD-8-17CET,Short,EUR/USD,29403,2,2018-01-18 07:00,2018-01-18 16:00,1.22055,1.22381,-6.58,0.00,Sold