date,open,high,low,close,volume ,openinterest
2020-01-02,1535.5,1545.6,1532,1540.1,2066,62124
2020-01-03,1543.9,1567.6,1543.9,1564.5,4481,62721
2020-01-06,1577.9,1600,1575,1580.9,6608,64207
2020-01-07,1578.6,1590.4,1569.8,1586.3,10571,65279
2020-01-08,1590.3,1624.5,1565.9,1572.3,7205,65944
2020-01-09,1569.5,1574,1553.4,1566.4,4490,66624
2020-01-10,1566.5,1575.3,1559,1572.1,6634,68517
2020-01-13,1575.1,1575.1,1559,1562.7,5330,69776
2020-01-14,1560.1,1561.4,1548.4,1556.5,5440,71170
2020-01-15,1559.3,1570.4,1559.2,1565.6,3836,71696
2020-01-16,1567.7,1569.7,1560,1562.2,4728,72786
2020-01-17,1564.8,1572.9,1561.4,1572.3,8242,74659
2020-01-21,1570.4,1580.7,1557.8,1569.9,7596,77084
2020-01-22,1568,1570.8,1562.2,1568.7,4613,78916
2020-01-23,1572,1579.3,1563.3,1577.3,6136,79312
2020-01-24,1574,1587.2,1568.2,1583.9,9739,81367
2020-01-27,1592.5,1599.7,1587.5,1589.5,9607,83325
2020-01-28,1592.4,1594,1576.5,1581.7,15014,85906
2020-01-29,1579.3,1588.8,1574,1582,19450,85790
2020-01-30,1587.3,1596.5,1583.1,1595.1,13355,82829
2020-01-31,1584.9,1601.2,1581.1,1593.8,6869,85272
2020-02-03,1603.6,1603.9,1579.1,1588.3,3913,85403
2020-02-04,1588.4,1589.6,1558.7,1561.4,6788,85552
2020-02-05,1563.4,1571.7,1556.9,1568.7,10770,86945
2020-02-06,1564.5,1577.6,1562,1575.8,3202,87031
2020-02-07,1575.7,1583.3,1570,1579.2,5771,88002
2020-02-10,1581.6,1586.3,1577.6,1585.4,4940,88784
2020-02-11,1581.6,1583.1,1570.9,1575.9,12951,89300
2020-02-12,1576.7,1579.2,1570.5,1577.3,17798,88858
2020-02-13,1574.6,1587,1574.5,1584.5,4719,90926
2020-02-14,1585.3,1593.6,1581.9,1591.9,16787,93725
2020-02-18,1590.4,1613.8,1587.5,1609.3,17652,98323
2020-02-19,1610.2,1621.5,1608.1,1617.5,6159,100350
2020-02-20,1620,1632,1612.6,1626.2,15698,105272
2020-02-21,1628.3,1657.4,1627.6,1654.6,19993,107798
2020-02-24,1660.3,1697,1658.8,1682.4,40166,112141
2020-02-25,1670,1670,1632.6,1655.8,23319,117583
2020-02-26,1643,1662.7,1632.4,1648.9,20858,116605
2020-02-27,1649.9,1668.2,1642.4,1648.2,22883,118375
2020-02-28,1651.7,1656.1,1569.1,1571.8,65336,123064
2020-03-02,1598.4,1616.5,1581.2,1599.5,23694,123291
2020-03-03,1594.3,1654.7,1594.3,1648.9,34663,133641
2020-03-04,1643,1658.6,1637.4,1647.2,28130,133055
2020-03-05,1642.7,1679.2,1641.5,1672,27670,142729
2020-03-06,1676.9,1696.5,1646.2,1676.1,71196,143054
2020-03-09,1694.5,1707.8,1660.8,1678.6,54569,151828
2020-03-10,1683.4,1683.5,1644.5,1663.3,52236,163242
2020-03-11,1652.4,1674.7,1635.7,1645.4,85842,178934
2020-03-12,1638.7,1654,1563.4,1593.2,94802,195317
2020-03-13,1581,1600.4,1507,1519.5,75399,200018
2020-03-16,1564.8,1576,1453,1488.6,73788,216247
2020-03-17,1505.8,1556.4,1468.6,1528.1,73573,226367
2020-03-18,1533.7,1549,1476,1480.6,73216,225850
2020-03-19,1489.7,1505.2,1462.8,1482.3,64605,225803
2020-03-20,1474.7,1522.5,1460.9,1488.1,46269,233548
2020-03-23,1508.4,1574.8,1489.4,1572.7,98803,249734
2020-03-24,1566.3,1693.5,1566.3,1663.3,175510,277061
2020-03-25,1665.5,1698,1609,1634.3,107991,314527
2020-03-26,1642.2,1677.2,1612,1660.3,145429,345366
2020-03-27,1653.4,1661,1630.7,1654.1,159263,367612
2020-03-30,1663.4,1673.6,1632,1643.2,157366,368350
2020-03-31,1643.4,1645.6,1588.2,1596.6,176554,362024
2020-04-01,1589.4,1612.4,1576,1591.4,164482,358837
2020-04-02,1602.4,1645.6,1595.2,1637.7,167707,359745
2020-04-03,1635.3,1652.8,1624.4,1645.7,139612,354372
2020-04-06,1647.7,1715.8,1638.2,1693.9,192753,357112
2020-04-07,1707.1,1742.6,1672,1683.7,204497,348998
2020-04-08,1678.7,1695.8,1670.7,1684.3,125327,347851
2020-04-09,1680.5,1754.5,1676.5,1752.8,218804,351632
2020-04-13,1742.3,1772.8,1724.2,1761.4,166890,352534
2020-04-14,1761.5,1788.8,1747.1,1768.9,241194,348082
2020-04-15,1758.1,1759.8,1731.6,1740.2,186697,348175
2020-04-16,1743.5,1768,1722.6,1731.7,204225,345267
2020-04-17,1738.5,1738.8,1691.2,1698.8,227069,341443
2020-04-20,1693,1718.4,1685,1711.2,186912,341357
2020-04-21,1713.3,1718,1666.2,1687.8,248629,337073
2020-04-22,1703.1,1742.4,1695.4,1738.3,193728,338973
2020-04-23,1736.5,1764.2,1730.6,1745.4,201884,337341
2020-04-24,1753,1760.2,1725.4,1735.6,180242,336389
2020-04-27,1745,1745.8,1720,1723.8,146641,338832
2020-04-28,1724.4,1731.9,1704.1,1722.2,171343,337183
2020-04-29,1724.8,1733.5,1708.2,1713.4,159603,335105
2020-04-30,1729.6,1737,1687.5,1694.2,234529,326212
2020-05-01,1693.5,1714.4,1676,1700.9,168016,325093
2020-05-04,1711.2,1726,1700.3,1713.3,148728,322572
2020-05-05,1711,1717.8,1695.4,1710.6,184728,319551
2020-05-06,1714.1,1716.6,1683,1688.5,203370,317809
2020-05-07,1686,1733.2,1683.9,1725.8,250704,310455
2020-05-08,1727.2,1735.5,1703.1,1713.9,232810,292900
2020-05-11,1706,1713.8,1692.1,1698,202173,270338
2020-05-12,1700,1716.7,1693.5,1706.8,198067,259239
2020-05-13,1705,1726.5,1701.6,1716.4,211614,260296
2020-05-14,1723.1,1746.5,1716,1740.9,212914,261067
2020-05-15,1738.5,1761.2,1736.8,1756.3,200179,257707
2020-05-18,1757.5,1775.8,1729.3,1734.4,271472,248145
2020-05-19,1734.8,1751.6,1727.2,1745.6,185258,240254
2020-05-20,1749.2,1757.6,1744,1752.1,184460,229231
2020-05-21,1751.7,1751.7,1715.3,1721.9,238735,201298
2020-05-22,1726,1742,1722.5,1735.5,196816,167816
2020-05-26,1734.8,1737.2,1700,1705.6,313174,95572
2020-05-27,1703.1,1713.2,1684.2,1710.7,137416,61168
2020-05-28,1709.3,1727.8,1705,1713.3,23355,47132
2020-05-29,1718.8,1738.3,1715.1,1736.9,1526,19205
2020-06-01,1740.4,1747,1727.1,1737.8,871,12324
2020-06-02,1743,1745.5,1721.8,1725.2,741,6321
2020-06-03,1726.3,1726.3,1684.5,1697.8,2755,6668
2020-06-04,1694.5,1718.3,1694.5,1718.9,807,5127
2020-06-05,1711.8,1711.8,1666.8,1676.2,1502,5260
2020-06-08,1679.1,1699.4,1675.9,1698.3,587,4070
2020-06-09,1694.6,1721.1,1692,1714.7,690,3970
2020-06-10,1716.1,1740.8,1711.9,1713.3,718,3023
2020-06-11,1737.2,1744.1,1720,1732,347,1794
2020-06-12,1724.9,1743,1724.8,1729.3,318,1776
2020-06-15,1730,1730,1703.3,1720.3,188,1667
2020-06-16,1726.3,1728.1,1722,1729.6,22,1615
2020-06-17,1714.7,1728.6,1714.7,1729.2,51,1631
2020-06-18,1730.5,1734.1,1717.3,1724.8,110,143
2020-06-19,1723.7,1750.7,1723.5,1745.9,1329,927
2020-06-22,1755.2,1767.6,1750.5,1756.7,1356,1612
2020-06-23,1755.4,1776.3,1754.2,1772.1,666,1310
2020-06-24,1778.3,1783.1,1764.5,1765.8,961,1816
2020-06-25,1761.7,1764.8,1759.8,1762.1,207,1422
2020-06-26,1766,1766,1764.7,1772.5,314,209
