<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2018.01.02,96208,96354.49,96208,96241.4,2607
2018.01.03,96241.28,96263.86,95929.59,95929.59,2603
2018.01.06,95929.46,96280.96,95919.05,96270.31,2607
2018.01.07,96270.39,96374.34,96234.53,96234.53,2605
2018.01.08,96234.54,96351.9,96234.54,96332.54,2608
2018.01.09,96332.55,96359.92,96141.07,96149.21,2607
2018.01.10,96149.27,96261.33,96147.68,96186,2607
2018.01.13,96185.99,96727.65,96185.99,96719.89,2580
2018.01.14,96627.55,97230.65,96627.55,97226.77,2599
2018.01.15,97228.67,97966.58,97228.67,97944.1,2606
2018.01.16,97944.03,98603.65,97944.03,98597.05,2607
2018.01.17,98596.93,98959.46,98596.93,98923.71,2602
2018.01.20,98923.55,99075.05,98832.31,98832.31,2605
2018.01.21,98817.28,98817.28,98221.08,98221.08,2606
2018.01.22,98221.09,98679.89,98218.09,98629.26,2606
2018.01.23,98628.43,99224.71,98628.43,99224.71,2605
2018.01.24,99224.8,99607.05,99224.8,99522.19,2605
2018.01.27,99522.18,99557.32,99355.55,99355.55,2585
2018.01.28,99355.55,99563.76,99355.55,99414.54,2600
2018.01.29,99414.55,99501.71,99046.12,99046.12,2606
2018.01.30,99046.12,99065.31,98557.73,98557.73,2607
2018.01.31,98557.87,98561.54,98133.5,98133.5,2585
2018.02.03,98133.52,98145.53,97718.79,97718.79,2604
2018.02.04,97718.81,97868.81,97705.81,97808.22,2606
2018.02.05,97808.19,98050.93,97808.19,98033.55,2604
2018.02.06,98033.54,98093.53,97913.59,97927.39,2605
2018.02.07,97927.5,98317.47,97927.5,98317.47,2606
2018.02.10,98299.74,98299.74,97782.51,97782.51,2607
2018.02.12,97782.73,98003.88,97782.73,97924.43,2596
2018.02.13,97924.73,98175.42,97924.73,98103.28,2601
2018.02.14,98103.36,98348.09,98103.36,98348.09,2601
2018.02.17,98347.92,98603.78,98347.92,98429.69,2605
2018.02.18,98429.69,98462.97,98300.4,98300.4,2598
2018.02.19,98300.65,98338.93,98148.52,98148.52,2606
2018.02.21,98148.52,98249.66,98148.52,98157.18,2609
2018.02.24,98157.3,98313.72,98157.3,98176.9,2583
2018.02.25,98176.9,98211.47,98080.18,98080.18,2590
2018.02.26,98080.27,98173.29,98080.27,98098.53,2591
2018.02.27,98098.51,98229.87,98096.99,98100.78,2601
2018.02.28,98100.84,98181.61,97961.42,97961.42,2604
2018.03.03,97961.75,97968.75,97388.44,97388.44,2603
2018.03.04,97388.71,97446.17,97354.3,97354.3,2604
2018.03.05,97354.34,97401.16,97199.09,97199.09,2590
2018.03.06,97182.65,97217.59,96991.02,96991.02,637
2018.03.07,96991.02,96997.6,96860.31,96860.31,2590
2018.03.10,96860.33,96889.57,96594.53,96594.53,2596
2018.03.11,96594.52,96607.52,96028.59,96028.59,2604
2018.03.12,96028.48,96240.6,96028.48,96194.16,2590
2018.03.13,96194.47,96314.17,96194.47,96314.17,2602
2018.03.14,96314.17,96463.51,95525.9,95525.9,2601
2018.03.17,95525.91,95688.53,95525.91,95577.42,2603
2018.03.18,95577.34,95819.64,95577.34,95819.64,2606
2018.03.19,95819.63,96336.98,95819.63,96289.97,2603
2018.03.25,96289.99,96426.99,96289.99,96422.99,2576
2018.03.26,96425.91,96611.83,96420.31,96489.72,2604
2018.03.27,96489.72,96623.11,96489.72,96596.58,2600
2018.03.28,96596.65,96951.45,96596.65,96938.56,2605
2018.04.03,96938.88,97162.24,96938.88,97086.17,2603
2018.04.04,97086.17,97150.6,97086.17,97150.6,2600
2018.04.07,97150.58,97186.62,96779.87,96779.87,2593
2018.04.08,96779.87,96779.87,96340.96,96340.96,2594
2018.04.09,96341.27,97135.37,96341.27,97120.67,2591
2018.04.10,97120.77,97164.5,96747.99,96747.99,2597
2018.04.11,96748.01,96799.22,96265.37,96287.03,2601
2018.04.15,96287.05,96305.05,95987.61,95987.61,2599
2018.04.16,95987.56,96000.42,95506.31,95506.31,2595
2018.04.17,95580.93,95589.24,95530.05,95532.41,1902
2018.04.18,95522.73,95627.95,95518.23,95518.23,2579
2018.04.21,95523.89,95565.88,95265.91,95265.91,2600
2018.04.22,95265.87,95270.91,94494.29,94494.29,2597
2018.04.23,94494.27,94512.68,94299.51,94299.51,2596
2018.04.24,94299.53,94629.01,94299.53,94576.18,2587
2018.04.25,94576.36,94883.9,94576.36,94796.14,2596
2018.04.28,94796.14,94804.57,94284.5,94284.5,2593
2018.04.29,94284.49,94298.74,93810.68,93810.68,2598
2018.04.30,93805.58,93861.58,93586.9,93586.9,2592
2018.05.01,93586.93,93630.8,93586.11,93612.03,2600
2018.05.05,93612.14,93642.22,93100.66,93100.66,2597
2018.05.06,93100.67,93100.96,92849.89,92849.89,2598
2018.05.07,92849.93,93165.86,92849.93,93165.86,2583
2018.05.08,93165.92,93605.85,93165.92,93605.85,2588
2018.05.09,93605.87,93833.87,93605.87,93691.85,2589
2018.05.12,93691.16,93933.96,93684.27,93891.1,2602
2018.05.13,93891.12,94182.74,93891.12,94165.57,2581
2018.05.14,94165.83,94704.43,94165.83,94703.46,2597
2018.05.15,94703.45,94941.99,94703.45,94905.95,2602
2018.05.16,94905.92,94982.92,94903.92,94940.18,2587
2018.05.19,94940.24,95173.78,94940.24,95103.09,2579
2018.05.20,95103.12,95235.2,95103.12,95136.39,2575
2018.05.21,95136.46,95260.24,95133.7,95227.53,2580
2018.05.22,95227.47,95282.82,95219,95229.82,2586
2018.05.23,95229.93,95510.99,95229.93,95445.06,2583
2018.05.26,95445.06,95929.96,95445.06,95793.99,2562
2018.05.27,95794.01,95887.25,95625.76,95625.76,2585
2018.05.28,95626.01,95654.85,95529.6,95529.6,2442
2018.05.29,95529.61,95647.44,95409.6,95409.6,2590
2018.05.30,95409.62,95665.17,95409.62,95577.36,2574
2018.06.02,95577.68,96026.57,95577.68,95951.86,2580
2018.06.03,95951.92,96024.73,95951.92,95998.86,2596
2018.06.09,95998.86,96251.69,95998.86,96077.09,2496
2018.06.10,96077.14,96139.07,95916,95916,2523
2018.06.11,95915.99,95974.63,95846.28,95846.28,2588
2018.06.12,95847.47,96378.66,95847.47,96378.66,2478
2018.06.13,96378.72,99128.61,96378.72,99128.61,2286
2018.06.17,99146.28,102452.4,99146.28,102452.4,2370
2018.06.18,102452.39,104806.07,102452.39,104533.43,2337
2018.06.19,104533.52,106511.7,104444.42,106494.44,2211
2018.06.20,106504.07,109037.36,106504.07,108872.63,2227
2018.06.23,108872.86,109401.4,108872.86,109401.4,2234
2018.06.24,109401.41,112080.38,109401.41,112060.74,2201
2018.06.25,112061.32,115226.05,112061.32,115174.49,1996
2018.06.26,115174.54,115555,113450.2,113528.64,2310
2018.06.27,113527.66,113810.99,111325.23,111325.23,2284
2018.06.30,111324.82,111845.82,111324.82,111528.19,2383
2018.07.01,111528.19,111528.19,108694.14,108694.14,2530
2018.07.02,108694.08,109937.03,108694.08,109937.03,2468
2018.07.03,109937.07,112472.68,109937.07,112346.49,2440
2018.07.04,112346.47,113243.03,112346.47,112490.12,625
2018.07.07,112490,112490,111051.29,111051.29,2389
2018.07.08,111051.6,111333.6,110871.6,110871.6,2390
2018.07.10,110851.43,111269.43,110851.43,110886.43,2545
2018.07.11,110848.96,110848.96,109528.96,109528.96,2164
2018.07.14,109505.13,109545.13,108941.13,108941.13,2400
2018.07.15,108915.25,109100.25,108067.25,108082.25,0
2018.07.16,108072.26,108578.26,108063.26,108129.26,1848
2018.07.17,108109.99,108338.99,107691.99,107787.99,2316
2018.07.18,107780.61,108201.61,107743.61,107781.61,2350
2018.07.21,107776.55,108343.55,107776.55,108279.55,2595
2018.07.22,108295.52,108972.52,108295.52,108836.52,2574
2018.07.23,108830.78,108884.78,108449.78,108671.78,2548
2018.07.24,108658.88,108855.88,108413.88,108413.88,2578
2018.07.25,108395.93,108788.93,108325.93,108788.93,2462
2018.07.27,108800.13,108800.13,108800.13,108800.13,2555
2018.07.28,108800.13,111920.13,108800.13,111880.13,2497
2018.07.29,111877.94,114023.94,111877.94,113861.94,2589
2018.07.30,113852.25,116832.25,113852.25,116758.25,2551
2018.07.31,116759.5,121173.5,116759.5,121151.5,2508
2018.08.01,121173.48,124594.48,121173.48,123958.48,2567
2018.08.04,123951.26,124832.26,123588.26,124354.26,2572
2018.08.05,124353.67,128563.67,124353.67,128444.67,2569
2018.08.06,128448.01,133855.01,128448.01,133645.01,272
2018.08.07,133328.3,134417.3,132719.3,133585.3,2575
2018.08.08,133584.41,133712.41,131519.41,131543.41,2488
2018.08.11,131521.63,131521.63,129027.63,129040.63,2595
2018.08.12,129013.76,130570.76,129013.76,129927.76,2593
2018.08.13,129901.86,129943.86,128310.86,128508.86,2602
2018.08.14,128522.72,131232.72,128522.72,130925.72,2605
2018.08.15,130927.68,130960.68,130484.68,130495.68,2603
2018.08.18,130476.88,131526.88,130476.88,131526.88,1963
2018.08.19,131535.83,134833.83,131535.83,134367.83,2032
2018.08.20,134354.77,137172.77,134354.77,137067.77,1829
2018.08.21,137072.92,137260.92,136889.92,136918.92,113
2018.08.25,136910.59,138187.59,136384.59,136384.59,2589
2018.08.26,136343.38,138551.38,136343.38,138551.38,2205
2018.08.27,138582.58,140534.58,138582.58,140317.58,1870
2018.08.28,140309.2,140309.2,136763.2,136786.2,2567
2018.08.29,136765.94,137710.94,136757.94,137497.94,2536
2018.09.01,137472.36,137791.36,136102.36,136124.36,2505
2018.09.02,136239.28,136239.28,133694.28,133695.28,0
2018.09.03,133676.13,135252.13,133676.13,135252.13,33
2018.09.04,135257.77,138283.77,135257.77,137986.77,39
2018.09.05,138445.05,138445.05,137628.05,137724.05,2556
2018.09.08,137714.16,139770.16,137714.16,139612.16,2587
2018.09.09,139930.03,142238.03,139930.03,142221.03,2530
2018.09.10,142234.44,147068.44,142234.44,146978.44,2373
2018.09.11,146998.66,148558.66,146998.66,148558.66,2464
2018.09.12,149179.64,155060.64,149179.64,155040.64,2447
2018.09.15,155637.15,159448.15,155637.15,158130.15,2213
2018.09.16,158119.22,158215.22,154193.22,155681.22,2347
2018.09.17,156203.11,158971.11,156203.11,158075.11,2496
2018.09.18,158071.91,158395.91,157018.91,157322.91,2421
2018.09.22,157889.33,160644.33,157889.33,160536.33,2404
2018.09.23,160538.23,165040.23,160538.23,165031.23,2574
2018.09.24,165072.08,168613.08,165072.08,168613.08,324
2018.09.25,168624.7,174617.7,168624.7,174597.7,2544
2018.09.26,174618.19,180614.19,174618.19,180614.19,284
2018.09.29,181413.52,187389.52,181413.52,187389.52,2316
2018.09.30,187434.86,195082.86,187434.86,195082.86,248
2018.10.01,195104.02,196999.02,194465.02,195470.02,2464
2018.10.02,195241.54,195241.54,188281.54,188281.54,73
2018.10.03,188259.41,188259.41,184042.41,185552.41,2582
2018.10.06,185559.3,189890.3,184096.3,184096.3,57
2018.10.07,183664.36,183664.36,176410.36,176427.36,2113
2018.10.08,176194.91,176194.91,173886.91,175159.91,2516
2018.10.09,175185.48,181207.48,175185.48,180832.48,2466
2018.10.10,180847.63,181621.63,180847.63,181016.63,111
2018.10.13,181015.73,181015.73,175064.73,175074.73,2589
2018.10.14,174220.39,174923.39,174118.39,174920.39,1597
2018.10.15,174826.41,180608.41,174826.41,180592.41,2547
2018.10.16,182179.19,183811.19,182179.19,182836.19,2111
2018.10.17,182834.06,182893.06,180330.06,182893.06,2580
2018.10.20,182929,188561,182929,188546,90
2018.10.21,188576,190040,188576,189409,81
2018.10.22,189438,190026,187589,187829,87
2018.10.23,187844.23,187844.23,185280.23,185329.23,945
2018.10.24,185318.73,185318.73,180992.73,181076.73,70
2018.10.27,181060.05,181060.05,178875.05,178882.05,771
2018.10.28,178841.31,180624.31,178841.31,180606.31,1230
2018.10.29,180626.91,183666.91,180626.91,183216.91,1163
2018.10.31,183219.5,183656.5,183219.5,183372.5,1523
2018.11.03,183367.34,183581.34,183346.34,183440.34,2538
2018.11.04,183448.81,184419.81,182932.81,182932.81,2235
2018.11.05,182918.58,184320.58,182918.58,184161.58,1174
2018.11.06,184159.77,185452.77,184159.77,185111.77,841
2018.11.10,185100.36,185296.36,184243.36,184243.36,1000
2018.11.11,184231,184265,180656,180668,45
2018.11.12,180668.3,182224.3,180668.3,182206.3,112
2018.11.13,182211.7,183902.7,182211.7,183223.7,43
2018.11.14,183212.17,183212.17,182003.17,182003.17,1048
2018.11.17,181994.31,182012.31,178842.31,178842.31,426
2018.11.18,178819.28,178819.28,173334.28,173569.28,777
2018.11.19,173557.69,176043.69,173537.69,175818.69,1207
2018.11.20,175816.45,176637.45,175816.45,176459.45,807
2018.11.21,176458.73,176800.73,175733.73,175737.73,1245
2018.11.24,175713.16,175713.16,171280.16,171292.16,544
2018.11.26,171252.94,171252.94,166500.94,166500.94,883
2018.11.27,166463.45,167858.45,166463.45,167218.45,1835
2018.11.28,167199.77,167199.77,163799.77,163803.77,1672
2018.12.01,163772.11,163772.11,159248.11,159888.11,1577
2018.12.02,160022.69,163138.69,160022.69,163120.69,1
2018.12.03,163138.45,166542.45,163138.45,166293.45,873
2018.12.04,166304.44,166850.44,165576.44,165708.44,695
2018.12.05,165701.66,167128.66,165701.66,166862.66,137
2018.12.08,166860.09,167536.09,166860.09,167095.09,108
2018.12.09,167083.22,167541.22,166896.22,166896.22,33
2018.12.10,166891.23,167324.23,166891.23,166929.23,46
2018.12.11,166915.94,167081.94,166250.94,166250.94,291
2018.12.12,166198.9,166198.9,165367.9,165367.9,0
2018.12.15,165387.95,165687.95,164504.95,164504.95,0
2018.12.16,164474.12,164474.12,161729.12,161729.12,0
2018.12.17,161708.08,162061.08,159834.08,159834.08,421
2018.12.18,159749.86,159924.55,159244.72,159244.72,575
2018.12.19,159146.44,159146.44,156128.67,156128.67,502
2018.12.22,156083.16,156374.7,154550.5,154550.5,935
2018.12.23,154550.48,156764.47,154550.48,156692.23,648
2018.12.24,156693.78,157683.53,156693.78,157568,408
2018.12.25,157484.03,157484.03,157008.66,157008.66,247
2018.12.26,156950.33,158443.77,156950.33,158443.77,130
2018.12.29,158443.72,160774.59,158443.72,160774.47,1143
2018.12.30,160774.03,161508.72,160774.03,161309.83,544
2018.12.31,161309.8,161474.73,161309.8,161405.33,525
2019.01.01,161405.31,161912.19,161405.31,161840.8,420
2019.01.02,161840.8,162087.63,160899.13,160899.13,396
2019.01.05,160898.86,161340.11,160898.86,161107.44,825
2019.01.06,161107.44,161482.98,161107.44,161275.63,932
2019.01.07,161275.81,162456.13,161275.81,162323.42,735
2019.01.08,162323.63,164164.63,162323.63,163967.14,460
2019.01.09,163967.16,166030.02,163967.16,164866.27,434
2019.01.12,164829.41,165270.98,164829.41,164929.83,388
2019.01.13,164929.84,165019.02,164494.06,164494.06,224
2019.01.14,164493.78,164917.63,164493.78,164696.48,300
2019.01.15,164696.44,165683.56,164696.44,165444.59,134
2019.01.16,165445.55,165991.55,165445.55,165594.94,135
2019.01.19,165595,166446.64,165595,166131.09,548
2019.01.20,166131.11,167028.23,165574.95,165574.95,142
2019.01.21,165575.09,165575.09,161922.3,161922.3,192
2019.01.22,161922.23,162805.72,161922.23,162805.72,264
2019.01.23,162805.69,163335.48,162805.69,162978.52,144
2019.01.26,162940.86,163167.86,162478.84,162478.84,138
2019.01.27,162477.52,162832.16,160797.63,160797.63,115
2019.01.28,160797.95,160943.64,159832.09,159832.09,114
2019.01.29,159818.19,160362.64,159818.19,160175.84,118
2019.01.30,160153.02,160491.19,160153.02,160319.84,134
2019.02.02,160294.84,160525.45,159854.64,159854.64,383
2019.02.03,159856.06,159856.06,157352.27,157352.27,494
2019.02.04,157355.23,158485.95,157355.23,158049.38,381
2019.02.05,158043.94,158445.64,158043.94,158394.05,191
2019.02.06,158394.2,158820.61,158394.2,158619.36,169
2019.02.10,158535.53,158776.61,158467.66,158467.66,247
2019.02.12,158468.16,158550.19,157973.48,157973.48,93
2019.02.13,157973.25,157973.25,157337.22,157337.22,73
2019.02.16,157310.78,157837.16,157114.13,157114.13,399
2019.02.17,157113.59,157215.58,156155.03,156155.03,418
2019.02.18,156154.97,156825.97,156154.97,156697.98,602
2019.02.19,156705.13,157513.14,156705.13,157387.63,169
2019.02.20,157387.48,159489.44,157387.48,159489.44,306
2019.02.23,159489.48,164289.31,159489.48,164277.36,78
2019.02.24,164267.83,166030.41,164267.83,166030.41,245
2019.02.25,166030.31,166944.52,166030.31,166793.59,72
2019.02.26,166793.63,166793.63,164774.48,164774.48,101
2019.02.27,164712.17,165359.16,164712.17,165314.06,168
2019.03.02,165295.08,165325.45,164399.05,164399.05,507
2019.03.03,164370.3,164571.14,164370.3,164466.84,1183
2019.03.04,164442.69,164778.02,164292.03,164292.03,1556
2019.03.05,164238.59,164433,162618.52,162618.52,1882
2019.03.06,162593.63,162949.3,162593.63,162851.92,1984
2019.03.09,162826.84,163086.08,162826.84,163007.27,923
2019.03.10,163007.27,164470.53,162990.27,164470.53,1771
2019.03.11,164470.36,167443.22,164470.36,167370.27,1313
2019.03.12,167371.48,168095.45,167371.48,167909.66,1755
2019.03.13,167909.66,169663.73,167909.66,169115.55,1303
2019.03.16,169115.52,171708.73,169115.52,171125.33,1558
2019.03.17,171124.94,172539.14,171124.94,172522.66,1718
2019.03.18,172522.48,175898.84,172522.48,175898.84,1447
2019.03.19,175898.8,178673.48,175898.8,178633.34,1811
2019.03.25,178659.05,179194.34,178659.05,179194.34,1916
2019.03.26,179194.34,179847.55,179194.34,179784.77,2024
2019.03.27,179766.34,181542.39,179766.34,181542.39,1864
2019.03.30,181542.38,185357.95,181542.38,185357.95,1957
2019.03.31,185358.02,186783.94,185281.44,185281.44,1874
2019.04.06,185281.13,186535.09,185281.13,186535.09,1870
2019.04.07,186535.52,188645.81,186535.52,188155.13,1228
2019.04.08,188073.78,188553.48,186667.84,188553.48,1099
2019.04.09,188592.77,190575.11,188592.77,190447.14,1429
2019.04.10,190425.09,193981.2,190425.09,193973.97,1467
2019.04.13,193978.3,195739.23,193978.3,195202.92,1071
2019.04.14,195202.73,195950.91,194068.89,195950.91,1102
2019.04.15,196084.13,201795.42,196084.13,201292.86,986
2019.04.16,201805.81,202637.8,201789.33,201890.02,1007
2019.04.17,201890.83,201890.83,198733.72,199918.56,248
2019.04.20,199911.31,204375.66,199911.31,204375.66,593
2019.04.22,204375.3,206835.11,204331.73,204331.73,327
2019.04.23,204322,204322,202656.91,202656.91,550
2019.04.24,202857.45,203904.08,202857.45,203809.05,360
2019.04.27,203776.89,205287.69,203776.89,205287.69,475
2019.04.28,205287.42,209264.94,205287.42,209243.91,1631
2019.04.29,209243.88,214867.73,209243.88,214867.73,419
2019.04.30,214867.58,219084.67,214867.58,216637.55,356
2019.05.01,216641.98,220107.41,216641.98,220107.41,714
2019.05.04,220108.95,224589.64,220108.95,224589.64,1247
2019.05.06,224057.3,224057.3,215818.78,215821.77,2157
2019.05.07,215820.61,215820.61,207966.53,208235.16,2472
2019.05.08,208197.09,211270.69,207779.31,211270.69,1855
2019.05.11,211344.13,212479.92,209154.97,209154.97,1650
2019.05.12,209154.94,209154.94,203489.09,204067,2535
2019.05.13,204069.3,207752.34,204069.3,207752.34,2604
2019.05.14,207751.69,211995.44,207751.69,211746.23,2572
2019.05.15,211746.38,212270.75,210919.84,211143.66,2599
2019.05.18,211017.78,213169.11,211017.78,212749.95,2320
2019.05.19,212747.72,213110.31,212747.72,212851.59,2574
2019.05.20,212851.48,213149.84,211708.66,211871.52,2001
2019.05.21,211871.69,215211.45,211871.69,215091.67,2474
2019.05.22,215091.61,215756.8,215091.61,215158.09,2521
2019.05.25,215168.55,215168.55,213802.45,214314.23,2230
2019.05.26,214314.23,217577.56,214314.23,217577.56,2452
2019.05.28,217573.94,223174.36,217573.94,223174.36,2582
2019.05.29,223253.8,225229.61,223253.8,224476.53,2505
2019.06.01,224476.81,224476.81,221360.94,222310.28,2560
